DEPTH;"Porosity
800";"Porosity
800";Kair 800;"R45 
Calculado";;PHI*Kair;"PHI*Kair
(ordenado)"
2698,7;23,8;0,238;106,186;3,162735976;RT2;25,272268;25,272268
2955,16;16,61310928;0,166131093;61,2;3,210891768;RT2;10,16722288;25,83112448
2782,08;26,3;0,263;131;3,260348682;RT2;34,453;30,538948
2816,16;27,96624426;0,279662443;159;3,454838836;RT2;44,46632838;34,453
2728,5;24,2;0,242;126,194;3,456172156;RT2;30,538948;35,90978475
2815,91;27,80416789;0,278041679;171;3,631604874;RT2;47,5451271;42,503912
2909,8;20,80730478;0,208073048;124,1445;3,964292519;RT2;25,83112448;42,715998
2667,7;28,8;0,288;210,813;3,985486379;RT2;60,714144;44,46632838
2697,7;27;0,27;202,077;4,136242191;RT2;54,56079;47,5451271
2879;26,03747007;0,260374701;192,411;4,15928387;RT2;50,09895653;50,09895653
2694,6;24,3;0,243;175,786;4,21085158;RT2;42,715998;52,13025
2685,3;24,2;0,242;175,636;4,225604676;RT2;42,503912;53,87377596
2662,4;30,6;0,306;267,701;4,34428718;RT2;81,916506;54,56079
2692,4;25;0,25;208,521;4,544117047;RT2;52,13025;55,712655
2987,25;27,50535038;0,275053504;243;4,544187884;RT2;66,83800143;57,316008
2674,3;25,5;0,255;218,481;4,58557054;RT2;55,712655;59,6099493
2814,7;27,00761869;0,270076187;243,6442;4,633189306;RT2;65,80249651;60,714144
2901,2;25,90555407;0,259055541;230,1049;4,660218253;RT2;59,6099493;64,554968
2693,4;27,3;0,273;272,184;4,904266228;RT2;74,306232;65,585816
2807,5;29,48;0,2948;309;4,915582515;RT2;91,0932;65,80249651
2665,6;28,9;0,289;309,083;5,012462926;RT2;89,324987;66,83800143
2673,5;27,7;0,277;296,27;5,091090449;RT2;82,06679;74,306232
2959;23,52566636;0,235256664;229;5,103852677;RT2;53,87377596;76,30483072
2663,4;30;0,3;363,23;5,331806478;RT2;108,969;79,826866
2813,5;28,34105394;0,283410539;334,6911;5,362045203;RT2;94,85498519;80,305844
2734,7;22,8;0,228;251,386;5,569020804;RT2;57,316008;81,916506
2686,4;23,6;0,236;273,538;5,668791069;RT2;64,554968;82,06679
2731,5;23,6;0,236;277,906;5,723657612;RT2;65,585816;85,4670534
2917,83;25,51255325;0,255125533;335;5,943591056;RT2;85,4670534;87,62798349
2889;25,7937572;0,257937572;366,9615;6,215470903;RT2;94,65315834;87,67937825
2669,3;29,4;0,294;464,586;6,315473254;RT2;136,588284;88,09846392
2901,08;24,81646871;0,248164687;355;6,325022796;RT2;88,09846392;89,324987
2684,5;23,8;0,238;335,407;6,364464877;RT2;79,826866;91,0932
